,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
880,m*****6,5,2020-08-30 14:30,,Good,,0,147,0,2.4129295e-06
881,anhtuanbui,5,2018-10-24 19:39,,Tot,,0,147,0,7.400213e-11
882,dinhthikimminh99,5,2022-07-16 17:25,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,148,0,1.8350924e-05
883,anhdaonguyenthi20302,5,2020-03-14 23:17,,Ship siêu nhanh 💚,,0,148,0,1.458861e-13
884,tai2952000,5,2019-12-15 11:53,,Hàng vô cùng chất lượng nha mn,,0,148,0,8.143666e-05
885,ngocmai1993i,5,2019-06-02 09:42,,Giao hàng nhanh,,0,148,0,2.4129295e-06
886,trinhhai56631,5,2022-11-08 13:58,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,148,0,7.400213e-11
887,m*****0,5,2020-07-08 11:56,,"Đóng gói cẩn thận, giao hàng nhanh, sản phẩm tốt.",,0,148,0,1.8350924e-05
888,dinhthikimminh99,5,2022-07-16 17:25,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,149,0,1.458861e-13
889,anhdaonguyenthi20302,5,2020-03-14 23:17,,Ship siêu nhanh 💚,,0,149,0,8.143666e-05
890,tai2952000,5,2019-12-15 11:53,,Hàng vô cùng chất lượng nha mn,,0,149,0,0.0006811792
891,ngocmai1993i,5,2019-06-02 09:42,,Giao hàng nhanh,,0,149,1,0.7100329
892,trinhhai56631,5,2022-11-08 13:58,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,149,0,0.63309216
893,m*****0,5,2020-07-08 11:56,,"Đóng gói cẩn thận, giao hàng nhanh, sản phẩm tốt.",,0,149,1,0.9729656
894,dinhthikimminh99,5,2022-07-16 17:25,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,150,0,4.024766e-09
895,anhdaonguyenthi20302,5,2020-03-14 23:17,,Ship siêu nhanh 💚,,0,150,0,1.2862648e-09
896,tai2952000,5,2019-12-15 11:53,,Hàng vô cùng chất lượng nha mn,,0,150,0,0.051827293
897,ngocmai1993i,5,2019-06-02 09:42,,Giao hàng nhanh,,0,150,0,0.5164092
898,trinhhai56631,5,2022-11-08 13:58,,Ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,150,1,0.90894896
899,m*****0,5,2020-07-08 11:56,,"Đóng gói cẩn thận, giao hàng nhanh, sản phẩm tốt.",,0,150,1,0.9729172
904,t*****4,5,2021-07-11 17:52,,"Giao hàng nhanh, chưa sử dụng chưa biết sao nữa ",,0,151,1,0.90894896
905,phanchivan1999,5,2020-10-07 20:15,,Tốt ,,0,151,0,9.3080885e-09
906,vnsfoioux0,5,2022-10-08 12:24,,"Công dụng: m
Lừa đảo đấy anh em ơi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,152,1,0.9999993
909,m*****y,5,2021-04-07 15:52,,Jmwnkiqnqmmqmqmqqm,,0,152,,
911,hang97ptit,5,2022-10-13 08:20,,Sản phẩm ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,152,,
912,vnsfoioux0,5,2022-10-08 12:24,,"Công dụng: m
Lừa đảo đấy anh em ơi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,153,,
915,m*****y,5,2021-04-07 15:52,,Jmwnkiqnqmmqmqmqqm,,0,153,,
917,hang97ptit,5,2022-10-13 08:20,,Sản phẩm ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,153,,
918,vnsfoioux0,5,2022-10-08 12:24,,"Công dụng: m
Lừa đảo đấy anh em ơi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,154,,
921,m*****y,5,2021-04-07 15:52,,Jmwnkiqnqmmqmqmqqm,,0,154,,
