,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
11,quynhngan501,5,2023-02-21 12:30,,"Chất lượng sản phẩm tốt, kèm quà tặng dễ thương. Tuy nhiên giao hàng hơi lâu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.86923e-11
12,getcaimat,5,2023-04-03 20:17,,"Đối tượng sử dụng: người lớn
Công dụng: giải rượu
Nên mua e này nha, tốt cực ý, rượu bia là phải có e nó, ox mình chỉ sài loại này, vừa giải rượu vừa bv dạ dày",,0,3,1,0.99998534
13,anhtuyet91_khoai.tay,5,2023-03-21 14:08,,"Đối tượng sử dụng: loc gan
Công dụng: giảm say nguội hiệu quả
Mua uống thấy hiệu quả nên quyết định mua tiếp để sử dụng. Mua trúng đợt KM 13 chai mà tính ra chưa tới 20k/chai, nay mua gần 32k/chai. sót ghê 😹","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,1.0
14,h*****3,5,2023-03-13 10:08,,"Giao hàng thần tốc. Đặt t7, sáng t2 đã nhận được rồi. Date tháng 12/2024. Ảnh mang tc minh hoạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,6.357373e-06
15,vothihonglyntpt,5,2023-02-28 12:58,,Cái hộp đựng trang sức nó xinh xỉu luôn ak. Màu hường phấn mới chịu. Đợt này cảm thấy giá hời,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,0.9990482
16,t*****1,5,2023-02-23 08:55,,Mua đc tặng cái hộp cũng đẹp nói chung ok! Nhận xu nên ko chụp nhiều!,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.17936692
17,quynhngan501,5,2023-02-21 12:30,,"Chất lượng sản phẩm tốt, kèm quà tặng dễ thương. Tuy nhiên giao hàng hơi lâu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,1.86923e-11
18,psk.pikapu,5,2021-10-21 22:18,,Mall có tiến bộ khi gói hàng. Lần này mình thấy gói kĩ hơn nhiều. Giao hàng cũng nhanh!,,0,4,1,0.7627133
19,t*****0,5,2021-10-27 08:00,,Giao hàng siêu nhanh. Làm 1 chai thì đi uống rượu vô đối. Ảnh và video để nhận xu,,0,4,1,0.8728996
20,tranbinh080590,5,2021-10-14 11:39,,Gói hàng siêu cẩn thận. Chưa dùng nhưng chắc chất lượng ổn thôi. 5 sao,,0,4,0,2.6333706e-07
21,michoupham,5,2021-12-02 12:18,,"Hàng giao đúng order, đóng gói chắc chắn, hộp nguyên vẹn rất ok.",,0,4,0,0.0074415547
22,s*****8,5,2021-11-26 10:48,,"Giao hàng siêu nhanh, vị dễ uống, tuy nhiên k hiểu sao mình uống trước khi uống rượu mà lại thấy đầu hơi quay quay",,0,4,1,1.0
23,t*****2,5,2021-11-20 15:06,,"San pham dễ uống, có tác dụng , theo dõi và đánh giá tiếp lần sau.",,0,4,0,2.2835689e-10
24,psk.pikapu,5,2021-10-21 22:18,,Mall có tiến bộ khi gói hàng. Lần này mình thấy gói kĩ hơn nhiều. Giao hàng cũng nhanh!,,0,5,1,0.7627133
25,t*****0,5,2021-10-27 08:00,,Giao hàng siêu nhanh. Làm 1 chai thì đi uống rượu vô đối. Ảnh và video để nhận xu,,0,5,1,0.8728996
26,tranbinh080590,5,2021-10-14 11:39,,Gói hàng siêu cẩn thận. Chưa dùng nhưng chắc chất lượng ổn thôi. 5 sao,,0,5,0,2.6333706e-07
27,michoupham,5,2021-12-02 12:18,,"Hàng giao đúng order, đóng gói chắc chắn, hộp nguyên vẹn rất ok.",,0,5,0,0.0074415547
28,s*****8,5,2021-11-26 10:48,,"Giao hàng siêu nhanh, vị dễ uống, tuy nhiên k hiểu sao mình uống trước khi uống rượu mà lại thấy đầu hơi quay quay",,0,5,1,1.0
29,t*****2,5,2021-11-20 15:06,,"San pham dễ uống, có tác dụng , theo dõi và đánh giá tiếp lần sau.",,0,5,0,2.2835689e-10
30,psk.pikapu,5,2021-10-21 22:22,,Mall có tiến bộ khi gói hàng. Lần này mình thấy gói kĩ hơn nhiều. Giao hàng cũng nhanh!,,0,6,1,0.7627133
31,sonnh1412,5,2022-04-01 19:10,,Đóng gói cẩn thận và giao hàng nhanh chóng. Đã mua một lần thấy cũng hiệu quả nên mua tiếp,,1,6,0,0.19755448
32,mrmrabcdzl,5,2021-10-22 17:56,,"Đúng là Shopee Mall , đặt hàng 2 ngày đã có, đóng gói kĩ lưỡng chống sốc các kiểu con đà điểu , Sản phẩm uống khá giống tăng lực không đường pha 1 chút mùi kiểu nhân sâm linh chi, nói chung là dễ uống còn có giảm chịu chứng khó chịu khi sử dụng Pi.a r.ụ thì mình sẽ test sau .... ⭐⭐⭐⭐⭐",,0,6,0,3.4780594e-06
33,wiseman2006,5,2022-07-20 20:43,,"Shop chuẩn bị hàng nhanh, bao bì cẩn thận. Nước uống giải rượu mùi thơm giống redbull do có taurin. Về công dụng thì để chủ nhật này mới biết.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,6,1,1.0
