,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
728,doinhaan,5,2018-06-08 22:29,Phân loại hàng: Hương Cúc La Mã," Chất lượng sản phẩm oke mỗi tội hỏng vòi xịt ạ :( mua lọ chiết sang tạm là dùng ngon, 8 tiếng mới bị bai mùi còn chút thoang thoảng nhẹ 🙆🙆",,0,122,0,1.1739943e-11
729,cuncon18102004,5,2018-03-29 18:31,Phân loại hàng: Hương Trà Xanh, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,,0,122,0,2.8959003e-06
730,tuuhuuluc,5,2020-01-27 17:08,,"Dùng tốt , nhưng mùi không dc lâu, khoảng 3 tiếng xịt lại",,0,122,0,3.534787e-08
731,doantien_0909,5,2018-05-12 13:05,Phân loại hàng: Hương Hương Thảo," Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn.  Thời gian giao hàng rất nhanh",,0,122,0,8.775938e-07
732,huy.nh.y,5,2019-04-21 10:50,Phân loại hàng: Hương Ylang Ylang,Giao siêu nhanh 👍👍 hqa hnay có r sp thơm nhưng mh thk loại green tea hơn nhưng hết haiZz,,0,123,1,0.75024235
733,tthuyduyen1608,5,2020-01-09 21:12,,"Mùi khá thoải mái, giảm mùi giảm tiết mồ hôi.",,0,123,0,6.57615e-06
734,anhienvothuong,5,2021-02-27 10:16,,"Xịt thơm vad mì khá sang
Nhưng mik ms mua mà lm mất rồi
Tiếc kinh khủng í",,0,123,1,0.9182645
735,dhbinh93,5,2020-03-04 19:41,,"Giao hàng nhanh, phụ vụ khách hàng tốt, chất lượng tốt, gói hàng cẩn thận",,0,123,0,5.073412e-07
736,phung_pham_1992,5,2020-01-13 21:53,,"Mùi thơm lắm, mình rất thích.nghe như mùi nước hoa mà rất thanh mát nhe",,0,123,1,0.9494098
737,kduong9607,5,2018-03-30 15:40,Phân loại hàng: Hương Trà Xanh," Đóng gói sản phẩm rất đẹp và chắc chắn
 Thời gian giao hàng rất nhanh",,0,123,1,0.92182606
